,baseline hazard
0.0010000000474974,0.0
0.0027378508821129,0.0
0.0054757017642259,0.0
0.0082135526463389,0.0
0.0109514035284519,0.0
0.0136892534792423,0.0
0.0164271052926778,0.0
0.0191649552434682,0.0
0.0219028070569038,0.0
0.0246406570076942,6.132801378147824e-06
0.0301163587719202,0.0
0.0328542105853557,0.0
0.0355920605361461,0.0
0.0383299104869365,0.0
0.0410677604377269,0.0
0.0438056141138076,0.0
0.046543464064598,0.0
0.0520191639661788,0.0
0.0547570139169693,0.0
0.05749486759305,0.0
0.0602327175438404,0.0
0.0629705712199211,0.0
0.0657084211707115,0.0
0.0711841210722923,0.0
0.0739219710230827,0.0
0.0766598209738731,0.0
0.0793976709246635,0.0
0.0821355208754539,0.0
0.0876112282276153,0.0
0.0903490781784057,0.0
0.0930869281291961,0.0
0.0958247780799865,0.0
0.0985626280307769,0.0
0.1013004779815673,0.0
0.1067761778831482,0.0
0.1095140278339386,0.0
0.1122518852353096,0.0
0.1149897351861,0.0
0.1177275851368904,0.0
0.1204654350876808,0.0
0.1259411424398422,0.0
0.1286789923906326,0.0
0.131416842341423,0.0
0.1341546922922134,0.0
0.1368925422430038,0.0
0.1396303921937942,0.0
0.1423682421445846,0.0
0.1478439420461654,0.0
0.1505817919969558,0.0
0.1533196419477462,0.0
0.1560574918985366,0.0
0.1587953418493271,0.0
0.1642710417509079,0.0
0.1670088917016983,0.0
0.1697467416524887,0.0
0.1724846065044403,0.0
0.1752224564552307,0.0
0.1779603064060211,0.0
0.1834360063076019,0.0
0.1861738562583923,0.0
0.1889117062091827,0.0
0.1916495561599731,0.0
0.1943874061107635,0.0
0.1971252560615539,0.0
0.2053388059139251,0.0
0.2080766558647155,0.0
0.2108145058155059,0.0
0.2135523557662964,0.0
0.2162902057170868,0.0
0.2190280556678772,0.0
0.2245037704706192,0.0
0.2272416204214096,0.0
0.2299794703722,0.0
0.2327173203229904,0.0
0.2381930202245712,0.0
0.2409308701753616,0.0
0.243668720126152,0.0
0.2464065700769424,0.0
0.2491444200277328,0.0
0.2518822848796844,0.0
0.2546201348304748,6.185886125613792e-06
0.2573579847812652,0.0
0.2600958347320556,0.0
0.262833684682846,0.0
0.2655715346336365,0.0
0.2683093845844269,0.0
0.2710472345352173,0.0
0.2737850844860077,0.0
0.2792607843875885,6.192740681134483e-06
0.2819986343383789,0.0
0.2847364842891693,0.0
0.2874743342399597,0.0
0.2902121841907501,0.0
0.2929500341415405,0.0
0.2984257340431213,0.0
0.3011635839939117,0.0
0.3039014339447021,0.0
0.3066392838954925,0.0
0.3093771338462829,0.0
0.3121149837970733,0.0
0.3203285336494446,0.0
0.323066383600235,0.0
0.3258042335510254,0.0
0.3285420835018158,0.0
0.3312799334526062,0.0
0.336755633354187,0.0
0.3394934833049774,0.0
0.3422313630580902,0.0
0.3449692130088806,0.0
0.347707062959671,0.0
0.3504449129104614,0.0
0.3531827628612518,0.0
0.3559206128120422,0.0
0.3586584627628326,0.0
0.361396312713623,0.0
0.3641341626644134,0.0
0.3668720126152038,0.0
0.3696098625659942,0.0
0.3750855624675751,0.0
0.3778234124183655,0.0
0.3805612623691559,0.0
0.3832991123199463,0.0
0.3860369622707367,0.0
0.3887748122215271,0.0
0.3915126621723175,0.0
0.3942505121231079,0.0
0.3969883620738983,0.0
0.3997262120246887,0.0
0.4024640619754791,0.0
0.4052019119262695,0.0
0.4079397618770599,0.0
0.4161533117294311,0.0
0.4188911616802215,0.0
0.4216290116310119,0.0
0.4243668615818023,0.0
0.4271047115325928,0.0
0.4325804114341736,0.0
0.435318261384964,0.0
0.4380561113357544,0.0
0.4407939910888672,0.0
0.4435318410396576,0.0
0.446269690990448,0.0
0.4544832408428192,0.0
0.4572210907936096,0.0
0.4599589407444,0.0
0.4626967906951904,0.0
0.4654346406459808,0.0
0.4681724905967712,0.0
0.4709103405475616,0.0
0.473648190498352,0.0
0.4763860404491424,0.0
0.4791238903999328,0.0
0.4818617403507232,0.0
0.4845995903015136,0.0
0.4873374402523041,0.0
0.4900752902030945,0.0
0.4928131401538849,0.0
0.4955509901046753,0.0
0.4982888400554657,0.0
0.5010266900062561,0.0
0.5092402696609497,0.0
0.5119780898094177,0.0
0.5147159695625305,6.257412234260237e-06
0.5174537897109985,0.0
0.5201916694641113,0.0
0.5229294896125793,0.0
0.5256673693656921,0.0
0.5284051895141602,0.0
0.531143069267273,0.0
0.533880889415741,0.0
0.5366187691688538,0.0
0.5393565893173218,0.0
0.5420944690704346,0.0
0.5448322892189026,0.0
0.5475701689720154,0.0
0.5503079891204834,0.0
0.5530458688735962,0.0
0.5557836890220642,0.0
0.558521568775177,0.0
0.561259388923645,0.0
0.5639972686767578,0.0
0.5694729685783386,0.0
0.5722107887268066,0.0
0.5749486684799194,0.0
0.5776864886283875,0.0
0.5804243683815002,0.0
0.5831621885299683,0.0
0.585900068283081,0.0
0.5886379480361938,0.0
0.5913757681846619,0.0
0.5941136479377747,0.0
0.5968514680862427,0.0
0.5995893478393555,6.2835887008529465e-06
0.6023271679878235,0.0
0.6050650477409363,0.0
0.6078028678894043,0.0
0.6105407476425171,0.0
0.6132785677909851,0.0
0.6160164475440979,0.0
0.6187542676925659,0.0
0.6242299675941467,0.0
0.6269678473472595,0.0
0.6297056674957275,0.0
0.6324435472488403,0.0
0.6351813673973083,0.0
0.6379192471504211,0.0
0.6406570672988892,0.0
0.643394947052002,0.0
0.64613276720047,0.0
0.6488706469535828,0.0
0.6516084671020508,0.0
0.6543463468551636,0.0
0.6570841670036316,0.0
0.6625598669052124,0.0
0.6652977466583252,0.0
0.6680355668067932,0.0
0.670773446559906,0.0
0.673511266708374,0.0
0.6762491464614868,0.0
0.6817248463630676,0.0
0.6844627261161804,0.0
0.6872005462646484,0.0
0.6899384260177612,6.307349237530176e-06
0.6926762461662292,0.0
0.695414125919342,0.0
0.6981519460678101,0.0
0.7008898258209229,0.0
0.7036276459693909,0.0
0.7063655257225037,0.0
0.7091033458709717,0.0
0.7118412256240845,0.0
0.7145790457725525,0.0
0.7173169255256653,6.314484641458461e-06
0.7200547456741333,0.0
0.7227926254272461,0.0
0.7255304455757141,0.0
0.7282683253288269,0.0
0.7310061454772949,0.0
0.7337440252304077,0.0
