,Donor,HealthyNondonor,NotSoHealthyNondonor
-2.2948023019648227,0.999948035481385,1.0,1.0
-2.2942285626270826,0.9999272493498759,1.0,1.0
-2.293654823289342,0.9999064632183667,1.0,1.0
-2.293081083951602,0.9998960700985986,1.0,1.0
-2.2925073446138615,0.9998856769788305,1.0,1.0
-2.291933605276122,0.9998648908473236,1.0,1.0
-2.2902123872629008,0.9998544977275543,1.0,1.0
-2.28906490858742,0.9998441046077852,1.0,1.0
-2.2879174299119396,0.9998337114880159,1.0,1.0
-2.285622472560979,0.9998233183682467,1.0,1.0
-2.283901254547758,0.9998233183682467,1.0,0.99975161450699
-2.2827537758722776,0.9998129252484774,1.0,0.99975161450699
-2.2775901218326156,0.9998025321287082,1.0,0.99975161450699
-2.2741476858061738,0.9998025321287082,1.0,0.9995032290139804
-2.2689840317665118,0.9998025321287082,1.0,0.9993790285507648
-2.2684102924287717,0.999781745997208,1.0,0.9991306430596735
-2.2666890744155506,0.999781745997208,1.0,0.9988822575685826
-2.2661153350778105,0.999781745997208,1.0,0.998633872077492
-2.26554159574007,0.999781745997208,1.0,0.9985096716085173
-2.2626728990513687,0.9997713528774377,1.0,0.9985096716085173
-2.2620991597136286,0.9997609597576673,1.0,0.9985096716085173
-2.260951681038148,0.9997609597576673,0.9998932023282907,0.9985096716085173
-2.2592304630249274,0.9997609597576673,0.9998932023282907,0.9983854711395428
-2.2586567236871873,0.999750566637897,0.9998932023282907,0.9983854711395428
-2.2580829843494468,0.999750566637897,0.9998932023282907,0.9981370856522959
-2.2546405483230054,0.999750566637897,0.9998932023282907,0.9980128851813987
-2.2540668089852653,0.999750566637897,0.9998932023282907,0.9976403301361964
-2.2523455909720442,0.9997401735181267,0.9998932023282907,0.9976403301361964
-2.2511981122965636,0.9997401735181267,0.9998932023282907,0.9973919446451016
-2.2494768942833434,0.9997401735181267,0.9998932023282907,0.9972677441665067
-2.2477556762701223,0.9997401735181267,0.9998932023282907,0.9971435436879118
-2.2471819369323818,0.9997401735181267,0.9998932023282907,0.997019343209317
-2.2466081975946417,0.9997297803983564,0.9998932023282907,0.9968951427307221
-2.2454607189191615,0.999719387278586,0.9998932023282907,0.9968951427307221
-2.244886979581421,0.9996986011470925,0.9998932023282907,0.9966467572473354
-2.2420182828927198,0.9996882080273211,0.9998932023282907,0.9965225567668123
-2.2414445435549797,0.9996882080273211,0.9998932023282907,0.996398340804771
-2.2408708042172396,0.9996882080273211,0.9998932023282907,0.9962741248427297
-2.240297064879499,0.9996882080273211,0.9998932023282907,0.9961499088806884
-2.239723325541759,0.9996778149075496,0.9998932023282907,0.9961499088806884
-2.2385758468662784,0.9996778149075496,0.9998932023282907,0.9959014924458461
-2.238002107528538,0.9996778149075496,0.9998932023282907,0.995777276481873
-2.2368546288530577,0.9996778149075496,0.9998932023282907,0.9956530605178999
-2.2362808895153177,0.9996778149075496,0.9998932023282907,0.995528829055023
-2.235707150177577,0.9996778149075496,0.9997864046565815,0.9954045975921463
-2.235133410839837,0.9996674216797252,0.9997864046565815,0.9954045975921463
-2.2305434961379147,0.9996674216797252,0.9997864046565815,0.9952803661292695
-2.227674799449214,0.9996674216797252,0.9997864046565815,0.9951561346663929
-2.2259535814359928,0.9996570284519009,0.9997864046565815,0.9950319032035161
-2.224806102760512,0.9996570284519009,0.9997864046565815,0.9949076717406394
-2.224232363422772,0.9996570284519009,0.9997864046565815,0.9947834402777627
-2.2225111454095514,0.9996570284519009,0.9997864046565815,0.994659208814886
-2.2219374060718113,0.9996466352240766,0.9997864046565815,0.9945349773520095
-2.221363666734071,0.9996362419962522,0.9997864046565815,0.9945349773520095
-2.2207899273963307,0.9996362419962522,0.9996796069848723,0.9945349773520095
-2.2190687093831096,0.9996362419962522,0.9996796069848723,0.9944107458891328
-2.2184949700453696,0.9996362419962522,0.9996796069848723,0.9942865144262563
-2.216773752032149,0.9996362419962522,0.9996796069848723,0.9941622829633796
-2.2162000126944084,0.9996362419962522,0.9996796069848723,0.9940380515005031
-2.2156262733566683,0.9996362419962522,0.9996796069848723,0.9939138200376265
-2.2133313160057075,0.9996362419962522,0.9996796069848723,0.9936653726398359
-2.212183837330227,0.9996362419962522,0.9996796069848723,0.993541141175018
-2.2110363586547463,0.9996258487684279,0.9996796069848723,0.9934169097102002
-2.210462619317006,0.9996258487684279,0.9996796069848723,0.9931684623162946
-2.2098888799792658,0.9996258487684279,0.9995728093131631,0.9931684623162946
