,baseline survival
0.0027378507871321013,1.0
0.0054757015742642025,1.0
0.008213552361396304,1.0
0.010951403148528405,1.0
0.013689253935660506,1.0
0.01642710472279261,1.0
0.024640657084188913,0.9999948444023886
0.030116358658453114,0.9999948444023886
0.03559206023271732,0.9999948444023886
0.04654346338124572,0.9999948444023886
0.05475701574264202,0.9999948444023886
0.06023271731690623,0.9999948444023886
0.08487337440109514,0.9999948444023886
0.10130047912388775,0.9999948444023886
0.12594113620807665,0.9999948444023886
0.12867898699520877,0.9999948444023886
0.13689253935660506,0.9999948444023886
0.13963039014373715,0.9999948444023886
0.14236824093086928,0.9999948444023886
0.15605749486652978,0.9999948444023886
0.15879534565366188,0.9999948444023886
0.16427104722792607,0.9999948444023886
0.17248459958932238,0.9999948444023886
0.17522245037645448,0.9999948444023886
0.17796030116358658,0.9999948444023886
0.1943874058863792,0.9999948444023886
0.1971252566735113,0.9999948444023886
0.2053388090349076,0.9999948444023886
0.2108145106091718,0.9999948444023886
0.2190280629705681,0.9999948444023886
0.2272416153319644,0.9999948444023886
0.2299794661190965,0.9999948444023886
0.2327173169062286,0.9999948444023886
0.23819301848049282,0.9999948444023886
0.24093086926762491,0.9999948444023886
0.2546201232032854,0.9999896795520999
0.25735797399041754,0.9999896795520999
0.2600958247775496,0.9999896795520999
0.26283367556468173,0.9999896795520999
0.2655715263518138,0.9999896795520999
0.27104722792607805,0.9999896795520999
0.2737850787132101,0.9999896795520999
0.2792607802874743,0.9999845121438605
0.28199863107460643,0.9999845121438605
0.28473648186173856,0.9999845121438605
0.2874743326488706,0.9999845121438605
0.30937713894592744,0.9999845121438605
0.32306639288158795,0.9999845121438605
0.33127994524298426,0.9999845121438605
0.33675564681724846,0.9999845121438605
0.3394934976043806,0.9999845121438605
0.34770704996577684,0.9999845121438605
0.35044490075290896,0.9999845121438605
0.3531827515400411,0.9999845121438605
0.35592060232717315,0.9999845121438605
0.36413415468856947,0.9999845121438605
0.3668720054757016,0.9999845121438605
0.3750855578370979,0.9999845121438605
0.37782340862423,0.9999845121438605
0.3805612594113621,0.9999845121438605
0.3915126625598905,0.9999845121438605
0.39698836413415467,0.9999845121438605
0.4024640657084189,0.9999845121438605
0.405201916495551,0.9999845121438605
0.4079397672826831,0.9999845121438605
0.4161533196440794,0.9999845121438605
0.4188911704312115,0.9999845121438605
0.4216290212183436,0.9999845121438605
0.42984257357973993,0.9999845121438605
0.432580424366872,0.9999845121438605
0.4380561259411362,0.9999845121438605
0.4407939767282683,0.9999845121438605
0.44353182751540043,0.9999845121438605
0.45722108145106094,0.9999845121438605
0.4654346338124572,0.9999845121438605
0.4681724845995893,0.9999845121438605
0.47091033538672145,0.9999845121438605
0.4791238877481177,0.9999845121438605
0.48186173853524983,0.9999845121438605
0.487337440109514,0.9999845121438605
0.49555099247091033,0.9999845121438605
0.49828884325804246,0.9999845121438605
0.5010266940451745,0.9999845121438605
0.5092402464065708,0.9999845121438605
0.5147159479808351,0.9999793308041198
0.5174537987679672,0.9999793308041198
0.5201916495550992,0.9999793308041198
0.5229295003422314,0.9999793308041198
0.5256673511293635,0.9999793308041198
0.5366187542778919,0.9999793308041198
0.5420944558521561,0.9999793308041198
0.5448323066392882,0.9999793308041198
0.5475701574264202,0.9999793308041198
0.5503080082135524,0.9999793308041198
0.5639972621492129,0.9999793308041198
0.5694729637234771,0.9999793308041198
0.5722108145106092,0.9999793308041198
0.5749486652977412,0.9999793308041198
0.5776865160848734,0.9999793308041198
0.5804243668720055,0.9999793308041198
0.5831622176591376,0.9999793308041198
0.5859000684462696,0.9999793308041198
0.5886379192334018,0.9999793308041198
